id,agent,level,old_risk_score,new_risk_score,old_correlation_score,new_correlation_score,old_priority,new_priority,old_status,new_status,changed_fields,matched_chain_count,cap,rule
709,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
710,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
711,darkstar,5,100,35,100,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,Systemd: Service exited due to a failure.
712,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,Successful sudo to ROOT executed.
713,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
714,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
715,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
716,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,Successful sudo to ROOT executed.
717,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
718,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
719,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
720,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,Successful sudo to ROOT executed.
721,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
744,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
745,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
746,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,Successful sudo to ROOT executed.
747,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
748,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
